LAD code,LAD name,Rural Urban Classification (Note 1),Total ATM Count (Note 3),Free ATM Count,"Total ATM Count per 100,000 people","Free ATM Count per 100,000 people"
E06000001,Hartlepool,Urban with City and Town,106,89,111.15,93.32
E06000002,Middlesbrough,Urban with City and Town,142,115,93.02,75.34
E06000003,Redcar and Cleveland,Urban with Significant Rural,92,84,66.70,60.90
E06000004,Stockton-on-Tees,Urban with City and Town,153,132,75.59,65.21
E06000005,Darlington,Urban with City and Town,96,80,86.83,72.36
E06000006,Halton,Urban with City and Town,95,66,73.31,50.93
E06000007,Warrington,Urban with City and Town,144,112,67.80,52.73
E06000008,Blackburn with Darwen,Urban with City and Town,135,102,85.71,64.76
E06000009,Blackpool,Urban with City and Town,195,120,136.64,84.09
E06000010,"Kingston upon Hull, City of",Urban with City and Town,278,246,102.23,90.46
E06000011,East Riding of Yorkshire,Largely Rural,288,243,82.26,69.40
E06000012,North East Lincolnshire,Urban with City and Town,160,119,101.05,75.16
E06000013,North Lincolnshire,Urban with Significant Rural,144,110,84.66,64.67
E06000014,York,Urban with City and Town,300,260,145.08,125.74
E06000015,Derby,Urban with City and Town,231,180,86.69,67.55
E06000016,Leicester,Urban with City and Town,328,267,86.37,70.30
E06000017,Rutland,Mainly Rural,9,8,22.14,19.68
E06000018,Nottingham,Urban with Minor Conurbation,296,222,89.89,67.42
E06000019,"Herefordshire, County of",Largely Rural,102,88,53.72,46.34
E06000020,Telford and Wrekin,Urban with City and Town,124,105,64.61,54.71
E06000021,Stoke-on-Trent,Urban with City and Town,225,180,85.50,68.40
E06000022,Bath and North East Somerset,Urban with Significant Rural,111,100,55.55,50.05
E06000023,"Bristol, City of",Urban with City and Town,322,242,66.67,50.10
E06000024,North Somerset,Urban with Significant Rural,109,87,49.29,39.34
E06000025,South Gloucestershire,Urban with City and Town,142,119,47.42,39.74
E06000026,Plymouth,Urban with City and Town,190,148,70.70,55.07
E06000027,Torbay,Urban with City and Town,128,93,91.77,66.67
E06000030,Swindon,Urban with City and Town,150,125,62.91,52.43
E06000031,Peterborough,Urban with City and Town,166,133,75.62,60.59
E06000032,Luton,Urban with City and Town,218,149,94.36,64.49
E06000033,Southend-on-Sea,Urban with City and Town,180,128,98.75,70.23
E06000034,Thurrock,Urban with Major Conurbation,108,78,60.61,43.77
E06000035,Medway,Urban with City and Town,206,142,71.83,49.51
E06000036,Bracknell Forest,Urban with City and Town,64,55,49.86,42.85
E06000037,West Berkshire,Urban with Significant Rural,99,77,60.60,47.13
E06000038,Reading,Urban with City and Town,154,128,86.42,71.83
E06000039,Slough,Urban with City and Town,112,83,69.69,51.64
E06000040,Windsor and Maidenhead,Urban with City and Town,88,72,56.69,46.38
E06000041,Wokingham,Urban with City and Town,55,44,29.91,23.93
E06000042,Milton Keynes,Urban with City and Town,198,162,66.38,54.31
E06000043,Brighton and Hove,Urban with City and Town,218,151,77.96,54.00
E06000044,Portsmouth,Urban with City and Town,178,138,84.64,65.62
E06000045,Southampton,Urban with City and Town,193,166,75.36,64.82
E06000046,Isle of Wight,Mainly Rural,103,78,73.10,55.36
E06000047,County Durham,Largely Rural,365,294,68.59,55.24
E06000049,Cheshire East,Urban with Significant Rural,230,189,55.76,45.82
E06000050,Cheshire West and Chester,Urban with Significant Rural,222,195,60.81,53.42
E06000051,Shropshire,Largely Rural,213,190,64.69,57.71
E06000052,Cornwall,Mainly Rural,341,271,58.96,46.86
E06000053,Isles of Scilly,Mainly Rural,[c],[c],[c],[c]
E06000054,Wiltshire,Largely Rural,272,231,52.51,44.60
E06000055,Bedford,Urban with Significant Rural,116,96,61.09,50.56
E06000056,Central Bedfordshire,Largely Rural,136,111,44.11,36.00
E06000057,Northumberland,Largely Rural,222,177,67.88,54.12
E06000058,"Bournemouth, Christchurch and Poole",Urban with City and Town,267,220,66.08,54.45
E06000059,Dorset,Largely Rural,223,189,57.95,49.12
E06000060,Buckinghamshire,Urban with Significant Rural,270,224,47.64,39.53
E06000061,North Northamptonshire,Urban with Significant Rural,259,212,70.38,57.61
E06000062,West Northamptonshire,Urban with Significant Rural,279,221,64.23,50.88
E06000063,Cumberland,Largely Rural,196,170,70.79,61.40
E06000064,Westmorland and Furness,Largely Rural,170,147,74.50,64.42
E06000065,North Yorkshire,Largely Rural,551,474,87.79,75.52
E06000066,Somerset,Largely Rural,363,296,62.46,50.93
E07000008,Cambridge,Urban with City and Town,77,67,51.35,44.68
E07000009,East Cambridgeshire,Mainly Rural,39,38,42.64,41.55
E07000010,Fenland,Largely Rural,57,52,55.05,50.22
E07000011,Huntingdonshire,Mainly Rural,91,74,48.91,39.77
E07000012,South Cambridgeshire,Largely Rural,40,31,23.73,18.39
E07000032,Amber Valley,Urban with Minor Conurbation,76,67,59.51,52.46
E07000033,Bolsover,Urban with Significant Rural,49,42,59.16,50.71
E07000034,Chesterfield,Urban with City and Town,105,84,100.11,80.09
E07000035,Derbyshire Dales,Mainly Rural,35,30,48.93,41.94
E07000036,Erewash,Urban with Minor Conurbation,69,65,60.61,57.10
E07000037,High Peak,Largely Rural,39,35,42.59,38.22
E07000038,North East Derbyshire,Urban with City and Town,43,35,40.94,33.32
E07000039,South Derbyshire,Urban with Significant Rural,46,35,40.33,30.69
E07000040,East Devon,Largely Rural,69,63,44.18,40.34
E07000041,Exeter,Urban with City and Town,103,87,75.16,63.48
E07000042,Mid Devon,Mainly Rural,33,26,39.22,30.90
E07000043,North Devon,Largely Rural,66,49,65.64,48.74
E07000044,South Hams,Mainly Rural,43,38,47.33,41.83
E07000045,Teignbridge,Largely Rural,69,59,50.34,43.04
E07000046,Torridge,Mainly Rural,28,20,40.68,29.06
E07000047,West Devon,Mainly Rural,23,21,39.15,35.74
E07000061,Eastbourne,Urban with City and Town,84,71,80.93,68.40
E07000062,Hastings,Urban with City and Town,87,69,95.80,75.98
E07000063,Lewes,Urban with Significant Rural,43,35,42.42,34.53
E07000064,Rother,Largely Rural,45,33,47.44,34.79
E07000065,Wealden,Mainly Rural,61,52,37.05,31.58
E07000066,Basildon,Urban with City and Town,131,98,68.75,51.43
E07000067,Braintree,Largely Rural,78,68,48.76,42.51
E07000068,Brentwood,Urban with Significant Rural,47,40,60.14,51.18
E07000069,Castle Point,Urban with City and Town,49,37,54.53,41.18
E07000070,Chelmsford,Urban with City and Town,113,100,60.99,53.97
E07000071,Colchester,Urban with Significant Rural,129,109,65.48,55.33
E07000072,Epping Forest,Urban with Significant Rural,58,46,42.65,33.83
E07000073,Harlow,Urban with City and Town,61,53,63.52,55.19
E07000074,Maldon,Mainly Rural,27,24,39.52,35.13
E07000075,Rochford,Urban with City and Town,53,42,60.10,47.63
E07000076,Tendring,Largely Rural,113,88,73.76,57.44
E07000077,Uttlesford,Mainly Rural,62,54,66.24,57.70
