"Table 3a - Median price paid by county, year ending December 1995 to year ending March 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Office for National Statistics, HM Land Registry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Country code,Region/Country name,County code,County name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022,Year ending Mar 2023,Year ending Jun 2023,Year ending Sep 2023,Year ending Dec 2023,Year ending Mar 2024
E12000001,North East,E06000001,Hartlepool," 36,500 "," 37,500 "," 38,500 "," 39,000 "," 40,000 "," 40,975 "," 41,752 "," 41,500 "," 41,450 "," 41,450 "," 43,000 "," 44,250 "," 44,000 "," 44,950 "," 45,375 "," 46,000 "," 47,375 "," 48,000 "," 48,500 "," 47,500 "," 47,000 "," 45,950 "," 44,950 "," 47,500 "," 48,500 "," 48,998 "," 51,950 "," 53,000 "," 53,000 "," 53,500 "," 54,950 "," 54,973 "," 56,950 "," 56,975 "," 54,250 "," 55,000 "," 52,975 "," 54,000 "," 57,500 "," 60,000 "," 69,000 "," 77,000 "," 83,000 "," 86,000 "," 90,000 "," 92,500 "," 97,500 "," 100,000 "," 105,000 "," 109,475 "," 110,000 "," 110,000 "," 110,000 "," 105,000 "," 100,000 "," 100,000 "," 103,500 "," 108,000 "," 110,000 "," 112,500 "," 110,500 "," 110,000 "," 108,475 "," 105,000 "," 104,000 "," 101,000 "," 100,000 "," 102,500 "," 108,000 "," 110,000 "," 115,000 "," 116,000 "," 115,748 "," 114,950 "," 116,000 "," 117,000 "," 120,000 "," 123,000 "," 124,000 "," 124,250 "," 124,000 "," 122,850 "," 120,000 "," 120,000 "," 119,950 "," 119,950 "," 123,250 "," 123,000 "," 124,950 "," 125,000 "," 124,000 "," 124,000 "," 125,000 "," 125,000 "," 126,500 "," 129,950 "," 129,950 "," 128,250 "," 129,975 "," 130,000 "," 133,000 "," 135,000 "," 139,500 "," 140,000 "," 136,500 "," 136,500 "," 135,000 "," 138,000 "," 145,000 "," 148,098 "," 146,250 "," 145,000 "," 139,975 "," 137,725 "
E12000001,North East,E06000002,Middlesbrough," 40,000 "," 41,500 "," 42,000 "," 43,000 "," 43,000 "," 43,500 "," 44,000 "," 45,000 "," 45,000 "," 45,000 "," 43,000 "," 42,000 "," 42,513 "," 43,000 "," 44,850 "," 46,500 "," 46,000 "," 45,500 "," 45,000 "," 45,000 "," 45,000 "," 44,500 "," 44,000 "," 44,500 "," 45,000 "," 46,000 "," 48,000 "," 47,583 "," 47,000 "," 45,000 "," 43,000 "," 46,000 "," 49,000 "," 50,500 "," 60,000 "," 64,950 "," 65,000 "," 69,000 "," 71,500 "," 78,000 "," 85,000 "," 90,177 "," 96,000 "," 99,000 "," 101,000 "," 103,000 "," 105,000 "," 108,000 "," 106,000 "," 105,000 "," 105,000 "," 100,000 "," 99,999 "," 100,000 "," 105,000 "," 110,000 "," 111,000 "," 110,000 "," 108,000 "," 108,500 "," 105,000 "," 105,000 "," 105,000 "," 102,500 "," 102,000 "," 102,000 "," 102,553 "," 105,000 "," 107,000 "," 105,000 "," 105,000 "," 108,000 "," 110,000 "," 115,000 "," 118,000 "," 120,000 "," 120,000 "," 123,950 "," 124,250 "," 124,000 "," 129,500 "," 128,000 "," 130,000 "," 131,000 "," 130,000 "," 132,000 "," 129,000 "," 125,000 "," 125,750 "," 126,000 "," 130,000 "," 133,000 "," 133,500 "," 133,500 "," 133,000 "," 134,995 "," 135,998 "," 137,500 "," 135,000 "," 135,000 "," 134,000 "," 136,000 "," 137,525 "," 140,000 "," 140,500 "," 140,000 "," 145,000 "," 147,000 "," 149,950 "," 150,000 "," 149,975 "," 145,000 "," 145,000 "," 145,000 "
E12000001,North East,E06000003,Redcar and Cleveland," 43,000 "," 42,500 "," 43,563 "," 44,000 "," 43,500 "," 44,000 "," 44,000 "," 44,995 "," 45,000 "," 45,000 "," 46,000 "," 45,950 "," 46,000 "," 45,775 "," 45,000 "," 45,000 "," 46,000 "," 47,000 "," 48,000 "," 49,000 "," 50,000 "," 50,075 "," 51,000 "," 51,998 "," 52,500 "," 53,000 "," 55,000 "," 56,000 "," 59,250 "," 59,950 "," 65,000 "," 69,950 "," 73,000 "," 76,000 "," 81,500 "," 87,000 "," 90,000 "," 95,000 "," 97,500 "," 100,000 "," 105,000 "," 105,000 "," 110,000 "," 115,000 "," 119,500 "," 120,000 "," 122,000 "," 123,000 "," 123,500 "," 123,000 "," 122,500 "," 120,000 "," 115,000 "," 115,000 "," 115,000 "," 115,000 "," 119,950 "," 120,000 "," 120,000 "," 119,973 "," 117,250 "," 116,000 "," 112,000 "," 112,000 "," 110,000 "," 111,017 "," 115,000 "," 115,000 "," 115,000 "," 115,000 "," 115,000 "," 116,750 "," 120,000 "," 120,000 "," 120,450 "," 122,500 "," 123,000 "," 124,995 "," 125,000 "," 125,000 "," 127,500 "," 127,000 "," 129,995 "," 130,000 "," 130,000 "," 130,000 "," 130,000 "," 130,000 "," 130,000 "," 130,000 "," 131,000 "," 134,000 "," 132,000 "," 131,995 "," 130,000 "," 130,000 "," 131,000 "," 132,995 "," 133,000 "," 134,995 "," 136,000 "," 140,000 "," 145,000 "," 145,000 "," 145,000 "," 145,000 "," 145,000 "," 148,100 "," 155,000 "," 156,125 "," 159,973 "," 156,625 "," 156,250 "," 158,000 "
E12000001,North East,E06000004,Stockton-on-Tees," 45,250 "," 46,000 "," 46,950 "," 47,000 "," 48,000 "," 48,500 "," 49,500 "," 49,950 "," 49,500 "," 49,000 "," 49,950 "," 49,995 "," 50,000 "," 51,000 "," 51,500 "," 52,500 "," 53,375 "," 54,000 "," 54,250 "," 55,500 "," 55,500 "," 55,000 "," 57,500 "," 58,995 "," 59,950 "," 60,000 "," 63,000 "," 65,000 "," 68,000 "," 70,000 "," 75,500 "," 80,000 "," 85,000 "," 88,500 "," 95,000 "," 100,000 "," 106,000 "," 110,000 "," 113,000 "," 115,000 "," 118,000 "," 119,785 "," 120,000 "," 124,000 "," 125,000 "," 127,973 "," 130,995 "," 132,995 "," 134,000 "," 134,000 "," 132,000 "," 132,351 "," 129,950 "," 130,000 "," 127,500 "," 125,250 "," 130,000 "," 130,000 "," 130,500 "," 130,250 "," 128,000 "," 127,998 "," 125,000 "," 125,000 "," 124,000 "," 124,950 "," 125,000 "," 125,000 "," 125,000 "," 125,000 "," 128,245 "," 127,500 "," 129,995 "," 130,000 "," 130,000 "," 133,000 "," 134,950 "," 134,500 "," 134,000 "," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 135,000 "," 137,500 "," 139,950 "," 142,000 "," 142,500 "," 144,000 "," 145,000 "," 144,000 "," 146,000 "," 145,250 "," 146,995 "," 147,998 "," 147,000 "," 149,995 "," 150,000 "," 150,000 "," 152,500 "," 155,000 "," 159,000 "," 160,000 "," 160,000 "," 159,000 "," 157,500 "," 158,000 "," 159,995 "," 165,000 "," 170,135 "," 170,000 "," 170,000 "," 167,000 "," 161,000 "
E12000001,North East,E06000005,Darlington," 44,000 "," 43,000 "," 44,000 "," 43,950 "," 43,500 "," 44,700 "," 45,500 "," 46,950 "," 49,000 "," 49,500 "," 49,950 "," 50,000 "," 49,995 "," 49,950 "," 50,000 "," 50,000 "," 50,675 "," 50,850 "," 51,350 "," 52,000 "," 52,632 "," 53,995 "," 54,000 "," 55,000 "," 56,000 "," 56,500 "," 57,950 "," 59,000 "," 59,500 "," 59,995 "," 65,000 "," 71,000 "," 79,000 "," 84,000 "," 90,000 "," 95,000 "," 101,000 "," 107,500 "," 111,000 "," 111,500 "," 110,950 "," 111,995 "," 112,500 "," 113,995 "," 115,000 "," 117,000 "," 118,000 "," 120,995 "," 121,500 "," 123,000 "," 123,998 "," 123,000 "," 124,950 "," 122,998 "," 118,750 "," 120,000 "," 123,000 "," 125,000 "," 125,000 "," 125,000 "," 125,000 "," 125,000 "," 124,950 "," 120,000 "," 120,000 "," 120,000 "," 120,000 "," 122,000 "," 119,000 "," 118,000 "," 119,950 "," 119,973 "," 120,000 "," 121,000 "," 123,000 "," 124,950 "," 125,000 "," 130,000 "," 130,000 "," 131,000 "," 131,000 "," 132,000 "," 135,000 "," 133,000 "," 132,500 "," 132,670 "," 134,000 "," 137,975 "," 138,000 "," 138,000 "," 139,995 "," 139,000 "," 141,000 "," 142,998 "," 141,000 "," 140,500 "," 143,000 "," 144,995 "," 145,000 "," 150,000 "," 153,000 "," 156,000 "," 160,500 "," 160,500 "," 159,973 "," 157,000 "," 155,000 "," 160,000 "," 165,748 "," 165,000 "," 167,950 "," 165,000 "," 155,000 "," 157,500 "
E12000001,North East,E06000047,County Durham," 39,000 "," 39,500 "," 39,950 "," 40,000 "," 40,000 "," 40,000 "," 41,500 "," 42,000 "," 43,000 "," 43,000 "," 43,000 "," 43,000 "," 43,000 "," 44,000 "," 44,500 "," 45,500 "," 47,000 "," 47,000 "," 48,000 "," 48,000 "," 48,000 "," 47,000 "," 47,000 "," 47,500 "," 48,000 "," 48,500 "," 49,950 "," 50,000 "," 52,000 "," 54,000 "," 55,950 "," 59,950 "," 64,750 "," 68,000 "," 74,950 "," 80,000 "," 85,000 "," 89,950 "," 91,000 "," 94,050 "," 96,995 "," 99,000 "," 103,000 "," 105,000 "," 106,995 "," 107,000 "," 107,000 "," 107,500 "," 109,000 "," 109,000 "," 109,950 "," 110,000 "," 105,000 "," 105,000 "," 105,000 "," 102,000 "," 105,000 "," 107,995 "," 110,000 "," 110,000 "," 107,995 "," 105,698 "," 103,000 "," 100,000 "," 100,000 "," 100,000 "," 100,000 "," 100,000 "," 100,000 "," 103,000 "," 104,950 "," 105,000 "," 105,000 "," 105,000 "," 109,000 "," 110,000 "," 110,000 "," 110,000 "," 110,000 "," 110,000 "," 110,000 "," 110,000 "," 110,000 "," 111,000 "," 112,000 "," 113,000 "," 114,000 "," 114,000 "," 114,950 "," 115,000 "," 115,025 "," 116,995 "," 118,000 "," 119,000 "," 120,000 "," 120,995 "," 120,000 "," 122,000 "," 120,000 "," 120,000 "," 125,000 "," 127,775 "," 134,000 "," 135,000 "," 131,000 "," 130,000 "," 127,500 "," 129,000 "," 132,125 "," 132,500 "," 130,500 "," 130,000 "," 125,000 "," 125,000 "
E12000001,North East,E06000057,Northumberland," 47,500 "," 47,000 "," 47,499 "," 48,500 "," 50,000 "," 50,625 "," 51,950 "," 52,000 "," 53,000 "," 53,000 "," 53,000 "," 54,000 "," 54,500 "," 54,950 "," 56,000 "," 58,000 "," 58,500 "," 59,000 "," 59,800 "," 59,950 "," 59,950 "," 59,950 "," 60,000 "," 62,000 "," 64,000 "," 65,000 "," 66,975 "," 69,000 "," 72,500 "," 75,000 "," 79,950 "," 84,950 "," 88,950 "," 92,000 "," 98,000 "," 108,000 "," 115,500 "," 120,000 "," 120,000 "," 120,000 "," 120,000 "," 122,500 "," 127,500 "," 133,000 "," 135,000 "," 137,000 "," 138,000 "," 137,000 "," 139,950 "," 140,000 "," 142,000 "," 144,000 "," 142,000 "," 141,500 "," 136,000 "," 134,000 "," 137,000 "," 140,000 "," 143,000 "," 145,000 "," 145,000 "," 142,000 "," 142,476 "," 137,525 "," 135,000 "," 135,000 "," 135,000 "," 137,000 "," 137,000 "," 137,500 "," 137,000 "," 137,000 "," 140,000 "," 140,000 "," 143,250 "," 145,825 "," 149,000 "," 150,000 "," 152,250 "," 155,000 "," 155,000 "," 155,000 "," 155,000 "," 157,500 "," 158,000 "," 160,000 "," 160,000 "," 159,950 "," 160,000 "," 159,950 "," 160,000 "," 165,000 "," 167,250 "," 169,000 "," 168,000 "," 169,000 "," 167,488 "," 168,000 "," 169,950 "," 170,000 "," 183,000 "," 190,000 "," 195,000 "," 195,000 "," 186,000 "," 185,000 "," 179,500 "," 182,500 "," 193,623 "," 195,500 "," 200,000 "," 199,950 "," 197,000 "," 195,000 "
E12000001,North East,E11000007,Tyne and Wear," 42,500 "," 42,000 "," 42,500 "," 43,075 "," 44,450 "," 45,000 "," 46,000 "," 46,750 "," 46,502 "," 47,000 "," 47,950 "," 48,000 "," 49,000 "," 49,500 "," 49,950 "," 50,450 "," 51,500 "," 52,000 "," 52,450 "," 52,000 "," 52,000 "," 52,500 "," 53,000 "," 55,000 "," 56,000 "," 57,500 "," 59,500 "," 61,950 "," 66,000 "," 68,500 "," 72,500 "," 78,000 "," 84,000 "," 88,000 "," 95,000 "," 100,000 "," 105,000 "," 110,000 "," 110,000 "," 110,000 "," 113,000 "," 115,000 "," 118,255 "," 120,000 "," 122,000 "," 123,950 "," 124,950 "," 124,995 "," 125,000 "," 125,000 "," 124,995 "," 124,950 "," 122,000 "," 120,000 "," 120,000 "," 120,000 "," 125,000 "," 125,000 "," 125,000 "," 125,461 "," 125,000 "," 125,000 "," 125,000 "," 121,500 "," 120,000 "," 120,000 "," 120,000 "," 120,000 "," 123,295 "," 123,500 "," 125,000 "," 125,000 "," 125,000 "," 125,000 "," 127,000 "," 129,950 "," 132,000 "," 134,098 "," 135,000 "," 137,950 "," 138,000 "," 137,500 "," 139,000 "," 139,300 "," 140,000 "," 140,250 "," 140,950 "," 142,000 "," 142,500 "," 144,950 "," 145,000 "," 146,000 "," 147,500 "," 147,500 "," 146,500 "," 148,000 "," 148,000 "," 148,000 "," 148,000 "," 150,000 "," 156,000 "," 165,000 "," 167,000 "," 166,000 "," 164,950 "," 160,000 "," 160,000 "," 163,000 "," 169,950 "," 170,000 "," 170,000 "," 170,000 "," 165,973 "," 165,000 "
E12000002,North West,E06000006,Halton," 44,500 "," 43,000 "," 44,000 "," 44,000 "," 45,000 "," 46,500 "," 48,000 "," 48,500 "," 49,000 "," 48,000 "," 48,000 "," 48,750 "," 48,750 "," 48,950 "," 48,625 "," 48,975 "," 49,500 "," 51,950 "," 53,625 "," 53,950 "," 54,000 "," 54,000 "," 54,000 "," 55,000 "," 55,950 "," 56,950 "," 58,000 "," 60,000 "," 65,000 "," 67,000 "," 73,750 "," 78,000 "," 84,975 "," 86,000 "," 89,500 "," 93,500 "," 99,500 "," 104,950 "," 111,000 "," 112,000 "," 112,000 "," 114,000 "," 115,000 "," 115,000 "," 115,000 "," 115,000 "," 115,500 "," 118,000 "," 118,000 "," 119,500 "," 119,000 "," 118,000 "," 117,000 "," 115,000 "," 115,000 "," 115,000 "," 120,000 "," 120,000 "," 122,950 "," 125,000 "," 120,000 "," 117,248 "," 113,000 "," 113,000 "," 115,000 "," 115,000 "," 115,000 "," 114,950 "," 113,250 "," 115,000 "," 120,000 "," 120,000 "," 123,748 "," 123,473 "," 125,000 "," 125,000 "," 124,950 "," 125,000 "," 125,000 "," 125,000 "," 128,000 "," 128,500 "," 130,250 "," 134,950 "," 135,000 "," 137,000 "," 135,500 "," 137,000 "," 140,000 "," 140,000 "," 139,000 "," 140,000 "," 139,950 "," 141,500 "," 145,000 "," 148,000 "," 150,000 "," 150,000 "," 150,000 "," 153,000 "," 155,000 "," 160,000 "," 165,000 "," 165,000 "," 160,175 "," 160,000 "," 156,000 "," 162,000 "," 170,000 "," 175,000 "," 179,000 "," 167,000 "," 165,000 "," 165,000 "
E12000002,North West,E06000007,Warrington," 54,000 "," 53,750 "," 53,475 "," 53,000 "," 54,500 "," 54,950 "," 55,950 "," 56,000 "," 57,000 "," 58,000 "," 58,500 "," 59,000 "," 59,000 "," 59,900 "," 59,925 "," 59,950 "," 60,000 "," 61,950 "," 64,950 "," 66,000 "," 66,950 "," 69,500 "," 71,725 "," 74,600 "," 77,000 "," 78,000 "," 81,500 "," 86,775 "," 90,550 "," 94,950 "," 98,000 "," 105,000 "," 112,000 "," 116,000 "," 121,750 "," 128,950 "," 135,000 "," 139,950 "," 140,000 "," 140,000 "," 138,000 "," 136,000 "," 139,000 "," 140,000 "," 145,000 "," 149,950 "," 150,000 "," 150,000 "," 150,000 "," 150,000 "," 148,950 "," 146,973 "," 145,000 "," 140,000 "," 140,000 "," 140,000 "," 144,000 "," 146,000 "," 147,000 "," 150,000 "," 150,000 "," 150,000 "," 148,500 "," 148,995 "," 147,500 "," 148,000 "," 149,995 "," 148,000 "," 147,000 "," 147,000 "," 150,000 "," 151,000 "," 152,000 "," 153,000 "," 155,000 "," 156,000 "," 157,250 "," 159,950 "," 160,000 "," 164,000 "," 165,000 "," 164,995 "," 166,000 "," 167,000 "," 169,950 "," 175,000 "," 174,950 "," 175,000 "," 178,000 "," 180,000 "," 180,000 "," 180,000 "," 184,250 "," 185,000 "," 187,750 "," 190,000 "," 192,000 "," 195,000 "," 196,000 "," 203,000 "," 212,000 "," 225,000 "," 232,500 "," 235,000 "," 236,000 "," 235,000 "," 233,000 "," 243,000 "," 250,000 "," 255,000 "," 258,000 "," 252,000 "," 249,300 "," 242,000 "
