LAD code,LAD name,Rural Urban Classification (Note 1),Total Parks and Play areas Count (Note 3),Play Area,Playing Field,Public Park Or Garden,Recreation Ground,"Parks and Play areas per 100,000 people",Parks and Play areas Area (km2),"Parks and Play areas Area per 100,000 people (km2)"
E06000001,Hartlepool,Urban with City and Town,49,29,6,7,7,51.38,[c],[c]
E06000002,Middlesbrough,Urban with City and Town,60,34,[c],12,10,39.31,1.12,0.73
E06000003,Redcar and Cleveland,Urban with Significant Rural,124,71,13,12,28,89.90,1.62,1.18
E06000004,Stockton-on-Tees,Urban with City and Town,81,48,12,5,16,40.02,1.33,0.66
E06000005,Darlington,Urban with City and Town,58,35,6,[c],13,52.46,1.50,1.36
E06000006,Halton,Urban with City and Town,96,58,11,8,19,74.08,1.69,1.30
E06000007,Warrington,Urban with City and Town,212,154,20,16,22,99.82,2.41,1.13
E06000008,Blackburn with Darwen,Urban with City and Town,130,88,13,9,20,82.54,2.27,1.44
E06000009,Blackpool,Urban with City and Town,63,35,[c],13,13,44.15,1.54,1.08
E06000010,"Kingston upon Hull, City of",Urban with City and Town,159,101,12,15,31,58.47,3.31,1.22
E06000011,East Riding of Yorkshire,Largely Rural,382,249,32,30,71,109.11,3.35,0.96
E06000012,North East Lincolnshire,Urban with City and Town,108,68,[c],12,24,68.21,1.34,0.84
E06000013,North Lincolnshire,Urban with Significant Rural,217,139,15,5,58,127.58,2.05,1.21
E06000014,York,Urban with City and Town,169,116,15,10,28,81.73,1.47,0.71
E06000015,Derby,Urban with City and Town,144,92,6,6,40,54.04,3.16,1.18
E06000016,Leicester,Urban with City and Town,256,198,[c],29,25,67.41,3.58,0.94
E06000017,Rutland,Mainly Rural,81,61,[c],[c],17,199.30,0.44,1.07
E06000018,Nottingham,Urban with Minor Conurbation,173,112,13,11,37,52.54,2.28,0.69
E06000019,"Herefordshire, County of",Largely Rural,246,163,28,10,45,129.55,1.70,0.90
E06000020,Telford and Wrekin,Urban with City and Town,219,157,19,14,29,114.11,1.77,0.92
E06000021,Stoke-on-Trent,Urban with City and Town,153,80,29,24,20,58.14,2.84,1.08
E06000022,Bath and North East Somerset,Urban with Significant Rural,221,144,15,11,51,110.60,2.06,1.03
E06000023,"Bristol, City of",Urban with City and Town,219,151,12,36,20,45.34,3.19,0.66
E06000024,North Somerset,Urban with Significant Rural,178,121,22,11,24,80.49,1.58,0.72
E06000025,South Gloucestershire,Urban with City and Town,253,181,18,11,43,84.49,2.43,0.81
E06000026,Plymouth,Urban with City and Town,216,160,14,18,24,80.38,2.09,0.78
E06000027,Torbay,Urban with City and Town,106,59,9,22,16,75.99,0.91,0.65
E06000030,Swindon,Urban with City and Town,209,166,[c],10,29,87.66,1.32,0.55
E06000031,Peterborough,Urban with City and Town,233,179,10,8,36,106.15,2.82,1.28
E06000032,Luton,Urban with City and Town,89,64,[c],5,17,38.52,1.28,0.55
E06000033,Southend-on-Sea,Urban with City and Town,55,41,[c],7,7,30.17,0.81,0.45
E06000034,Thurrock,Urban with Major Conurbation,136,96,[c],[c],35,76.32,2.07,1.16
E06000035,Medway,Urban with City and Town,202,136,13,12,41,70.43,1.94,0.68
E06000036,Bracknell Forest,Urban with City and Town,125,102,[c],[c],17,97.39,1.00,0.78
E06000037,West Berkshire,Urban with Significant Rural,219,146,20,[c],52,134.05,2.09,1.28
E06000038,Reading,Urban with City and Town,100,74,[c],[c],21,56.12,0.90,0.51
E06000039,Slough,Urban with City and Town,98,73,[c],[c],20,60.98,1.50,0.94
E06000040,Windsor and Maidenhead,Urban with City and Town,116,81,6,6,23,74.72,1.39,0.89
E06000041,Wokingham,Urban with City and Town,191,152,12,[c],25,103.88,1.66,0.90
E06000042,Milton Keynes,Urban with City and Town,503,429,14,12,48,168.64,3.44,1.15
E06000043,Brighton and Hove,Urban with City and Town,113,69,8,13,23,40.41,1.41,0.50
E06000044,Portsmouth,Urban with City and Town,127,92,6,17,12,60.39,1.35,0.64
E06000045,Southampton,Urban with City and Town,143,119,5,[c],16,55.84,1.25,0.49
E06000046,Isle of Wight,Mainly Rural,124,67,9,18,30,88.00,1.45,1.03
E06000047,County Durham,Largely Rural,546,329,58,21,138,102.60,5.67,1.06
E06000049,Cheshire East,Urban with Significant Rural,380,254,41,16,69,92.13,2.94,0.71
E06000050,Cheshire West and Chester,Urban with Significant Rural,385,245,48,30,62,105.46,3.03,0.83
E06000051,Shropshire,Largely Rural,370,239,35,7,89,112.37,2.82,0.86
E06000052,Cornwall,Mainly Rural,823,526,84,51,162,142.31,4.63,0.80
E06000053,Isles of Scilly,Mainly Rural,[c],[c],[c],[c],[c],[c],0.02,0.93
E06000054,Wiltshire,Largely Rural,804,581,54,17,152,155.22,5.68,1.10
E06000055,Bedford,Urban with Significant Rural,282,213,14,12,43,148.51,2.43,1.28
E06000056,Central Bedfordshire,Largely Rural,406,299,16,11,80,131.69,3.64,1.18
E06000057,Northumberland,Largely Rural,403,270,49,14,70,123.22,3.29,1.01
E06000058,"Bournemouth, Christchurch and Poole",Urban with City and Town,222,138,16,33,35,54.94,3.28,0.81
E06000059,Dorset,Largely Rural,498,319,57,21,101,129.41,3.56,0.92
E06000060,Buckinghamshire,Urban with Significant Rural,592,393,36,21,142,104.47,5.94,1.05
E06000061,North Northamptonshire,Urban with Significant Rural,358,250,17,15,76,97.28,3.25,0.88
E06000062,West Northamptonshire,Urban with Significant Rural,451,312,35,10,94,103.83,5.47,1.26
E06000063,Cumberland,Largely Rural,369,215,61,13,80,133.27,3.82,1.38
E06000064,Westmorland and Furness,Largely Rural,310,199,33,13,65,135.85,2.26,0.99
