LAD code,LAD name,Rural Urban Classification (Note 1),Percentage of households with no car or van ownership,Percentage of residents aged 16 to 64,Less than 15 minute walk,Less than 30 minute walk,Less than 60 minute walk
E06000001,Hartlepool,Urban with City and Town,29.6,61,13,46,94
E06000002,Middlesbrough,Urban with City and Town,33.1,63,15,55,94
E06000003,Redcar and Cleveland,Urban with Significant Rural,24.8,58.6,23,45,76
E06000004,Stockton-on-Tees,Urban with City and Town,22.3,61.3,17,46,87
E06000005,Darlington,Urban with City and Town,25,61.1,27,65,97
E06000006,Halton,Urban with City and Town,23.8,62.1,28,75,99
E06000007,Warrington,Urban with City and Town,17.4,61.9,23,57,86
E06000008,Blackburn with Darwen,Urban with City and Town,26.9,62.8,29,79,100
E06000009,Blackpool,Urban with City and Town,34,61.5,55,90,100
E06000010,"Kingston upon Hull, City of",Urban with City and Town,35.1,64.4,5,23,68
E06000011,East Riding of Yorkshire,Largely Rural,15.8,57.5,23,45,64
E06000012,North East Lincolnshire,Urban with City and Town,26.9,59.9,27,57,86
E06000013,North Lincolnshire,Urban with Significant Rural,18.5,59.5,18,37,71
E06000014,York,Urban with City and Town,24,66,8,34,79
E06000015,Derby,Urban with City and Town,26,63.4,10,37,85
E06000016,Leicester,Urban with City and Town,33,67.3,8,31,83
E06000017,Rutland,Mainly Rural,10.3,57.5,21,33,45
E06000018,Nottingham,Urban with Minor Conurbation,38,70,48,80,100
E06000019,"Herefordshire, County of",Largely Rural,14.4,57.4,10,27,54
E06000020,Telford and Wrekin,Urban with City and Town,18.7,62.3,11,30,72
E06000021,Stoke-on-Trent,Urban with City and Town,27.3,62.2,9,34,86
E06000022,Bath and North East Somerset,Urban with Significant Rural,19.9,64.7,19,43,66
E06000023,"Bristol, City of",Urban with City and Town,26.2,70.3,31,60,96
E06000024,North Somerset,Urban with Significant Rural,15,58.3,21,47,65
E06000025,South Gloucestershire,Urban with City and Town,12.3,63,11,30,62
E06000026,Plymouth,Urban with City and Town,24.9,64,21,42,65
E06000027,Torbay,Urban with City and Town,23.2,57.1,18,57,86
E06000030,Swindon,Urban with City and Town,19.3,63.9,10,26,72
E06000031,Peterborough,Urban with City and Town,22.7,62.8,7,25,66
E06000032,Luton,Urban with City and Town,25,65.1,20,71,100
E06000033,Southend-on-Sea,Urban with City and Town,24.6,61.7,53,84,100
E06000034,Thurrock,Urban with Major Conurbation,17.3,63.6,32,68,99
E06000035,Medway,Urban with City and Town,19.2,62.7,25,56,87
E06000036,Bracknell Forest,Urban with City and Town,11.5,64.6,16,56,99
E06000037,West Berkshire,Urban with Significant Rural,12.1,61,24,53,85
E06000038,Reading,Urban with City and Town,28.4,68.8,25,69,98
E06000039,Slough,Urban with City and Town,20.3,65.1,30,81,100
E06000040,Windsor and Maidenhead,Urban with City and Town,12.7,61.8,31,70,95
E06000041,Wokingham,Urban with City and Town,9,61.6,18,54,86
E06000042,Milton Keynes,Urban with City and Town,17.1,64.1,10,32,80
E06000043,Brighton and Hove,Urban with City and Town,37.4,71.2,44,81,94
E06000044,Portsmouth,Urban with City and Town,30.3,67,39,90,100
E06000045,Southampton,Urban with City and Town,27.4,68.7,35,79,100
E06000046,Isle of Wight,Mainly Rural,20.8,55.6,25,33,39
E06000047,County Durham,Largely Rural,24.1,61.8,10,25,45
E06000049,Cheshire East,Urban with Significant Rural,14.5,59.9,22,51,90
E06000050,Cheshire West and Chester,Urban with Significant Rural,16.7,61.2,26,60,87
E06000051,Shropshire,Largely Rural,13.8,58,14,29,55
E06000052,Cornwall,Mainly Rural,15,58.1,19,40,56
E06000053,Isles of Scilly,Mainly Rural,41.8,58.3,0,0,0
E06000054,Wiltshire,Largely Rural,13.1,59.7,12,33,49
E06000055,Bedford,Urban with Significant Rural,18.2,62.5,13,35,74
E06000056,Central Bedfordshire,Largely Rural,11.3,62.1,14,29,65
E06000057,Northumberland,Largely Rural,19.7,57.8,12,26,44
E06000058,"Bournemouth, Christchurch and Poole",Urban with City and Town,19.4,61.9,25,59,90
E06000059,Dorset,Largely Rural,13.7,54.6,12,27,38
E06000060,Buckinghamshire,Urban with Significant Rural,11.5,61,18,48,81
E06000061,North Northamptonshire,Urban with Significant Rural,16,62.1,6,22,53
E06000062,West Northamptonshire,Urban with Significant Rural,15.9,63.2,4,15,40
E06000063,Cumberland,Largely Rural,20.3,59.6,17,40,74
E06000064,Westmorland and Furness,Largely Rural,17.6,58.8,33,60,80
E06000065,North Yorkshire,Largely Rural,15.7,58.4,21,42,59
E06000066,Somerset,Largely Rural,14,57.8,9,26,46
E07000008,Cambridge,Urban with City and Town,34.4,74.3,18,61,99
E07000009,East Cambridgeshire,Mainly Rural,12,60.5,12,46,59
E07000010,Fenland,Largely Rural,15.9,59,11,35,42
E07000011,Huntingdonshire,Mainly Rural,13.1,61.3,7,20,44
E07000012,South Cambridgeshire,Largely Rural,10.9,60.4,7,17,36
E07000032,Amber Valley,Urban with Minor Conurbation,16.8,60.4,16,41,72
E07000033,Bolsover,Urban with Significant Rural,18.5,62.2,16,36,62
E07000034,Chesterfield,Urban with City and Town,23.9,61.1,4,26,79
E07000035,Derbyshire Dales,Mainly Rural,13,56.5,10,23,43
E07000036,Erewash,Urban with Minor Conurbation,19.4,62,13,41,91
E07000037,High Peak,Largely Rural,16.9,60.9,42,86,96
E07000038,North East Derbyshire,Urban with City and Town,16.1,58.6,8,23,49
E07000039,South Derbyshire,Urban with Significant Rural,11.1,62.5,5,6,26
E07000040,East Devon,Largely Rural,13.6,54.5,19,42,61
E07000041,Exeter,Urban with City and Town,25.4,69.3,56,91,100
E07000042,Mid Devon,Mainly Rural,13.1,58.2,6,15,33
E07000043,North Devon,Largely Rural,17,57.4,4,23,43
E07000044,South Hams,Mainly Rural,11.7,55.8,7,18,38
E07000045,Teignbridge,Largely Rural,14.4,56.7,19,41,66
E07000046,Torridge,Mainly Rural,13.7,55.3,0,0,0
E07000047,West Devon,Mainly Rural,12.1,56.1,4,16,26
E07000061,Eastbourne,Urban with City and Town,26.5,58.8,31,73,100
E07000062,Hastings,Urban with City and Town,29.2,61.5,44,76,99
E07000063,Lewes,Urban with Significant Rural,18.8,56.7,27,56,79
E07000064,Rother,Largely Rural,16,52.9,31,58,82
E07000065,Wealden,Mainly Rural,10.6,56.5,16,35,57
E07000066,Basildon,Urban with City and Town,18.7,62,26,78,99
